Driver_Age,Increase_Percentage,Total_Premium,Renewal_Indicator
58,5.55,396.45,0
47,10.35,2377.13,1
77,1.95,3637.59,1
32,8.22,1557.61,0
32,39.81,1597.48,0
36,7.3,740.98,1
18,26.26,3595.32,0
37,5.23,437.84,1
33,50.0,1875.94,0
47,8.66,1540.82,1
50,0.43,2208.93,1
73,8.84,2961.78,1
59,3.21,1471.82,1
36,0.33,3192.22,1
31,17.2,1620.75,0
52,3.23,2153.33,1
25,15.92,627.84,0
72,3.4,1189.91,0
62,2.16,349.04,1
37,36.47,1749.43,0
19,4.49,2846.66,1
65,9.2,1416.02,1
43,9.42,1548.29,1
63,8.22,2237.58,1
21,24.62,2416.7,1
36,11.22,332.79,1
45,5.17,1015.07,1
45,19.83,393.19,1
38,2.0,1215.33,1
54,7.86,4624.25,1
28,30.07,2874.29,0
42,9.82,1655.83,1
46,16.98,5000.0,1
52,10.6,2085.62,0
55,18.29,5000.0,1
28,28.91,1846.97,1
21,3.19,1011.03,1
64,1.86,582.38,1
49,6.62,2662.71,1
33,12.1,1205.2,1
68,2.58,1844.23,1
46,0.04,2368.76,1
62,4.2,802.72,1
46,34.69,2060.07,1
75,11.87,1434.99,1
71,5.13,418.87,0
41,2.14,2461.11,1
59,4.4,2694.73,1
54,1.86,4051.27,1
65,1.12,600.41,1
30,23.72,5000.0,0
55,50.0,878.13,1
60,1.79,300.0,1
18,0.56,1710.49,0
27,4.0,2209.95,1
18,6.19,1482.3,0
40,2.29,592.15,1
55,3.59,1130.51,1
67,2.24,2115.62,1
46,14.88,5000.0,1
69,12.47,620.96,1
24,10.08,1003.15,0
19,4.9,477.01,0
44,23.97,1213.0,1
50,34.91,1564.32,1
44,1.91,3340.92,1
18,2.52,2146.6,0
43,7.46,4480.45,1
25,0.96,1619.43,0
55,5.73,300.0,0
50,8.72,2219.77,1
30,7.38,302.89,1
37,4.02,3269.07,1
29,7.82,1621.08,1
44,31.89,965.67,1
59,2.31,547.9,1
30,10.64,1089.99,1
52,0.44,1563.1,1
37,0.69,5000.0,1
33,8.03,1461.45,0
43,1.11,1967.33,1
29,0.23,1528.17,1
36,1.88,1970.55,1
27,8.32,1882.73,1
74,12.15,1643.32,0
45,2.26,937.67,1
34,11.03,2732.93,1
48,2.01,620.76,1
43,9.51,2385.22,0
41,5.31,2770.29,1
54,10.61,300.0,1
56,50.0,565.12,0
37,27.78,300.0,0
36,0.04,3930.26,1
40,21.67,1055.26,1
18,0.69,3786.8,1
22,30.59,1254.22,0
65,3.31,670.56,1
69,4.81,896.25,0
41,0.96,1856.18,1
53,1.19,2749.22,1
49,12.97,1685.87,1
80,28.88,3189.59,0
61,9.44,1434.86,0
43,12.58,1566.84,1
30,14.35,846.01,1
20,3.05,767.17,1
48,0.46,2882.17,1
33,0.02,622.91,0
23,4.32,1251.54,1
35,2.76,2981.83,1
28,0.64,339.21,1
70,1.98,4000.7,0
58,1.33,680.35,1
44,24.64,4011.49,0
67,1.51,621.87,1
46,7.71,2877.28,1
32,8.99,1030.26,1
67,7.84,5000.0,1
53,1.04,1360.75,0
29,3.84,545.71,1
42,0.53,2386.73,1
31,5.04,1129.88,1
24,2.09,2564.32,1
58,8.25,3969.44,1
73,11.8,2933.72,0
24,7.6,316.75,1
53,5.7,609.54,1
35,4.9,2008.45,1
37,18.43,2166.7,1
36,2.48,492.7,0
32,13.25,668.14,0
45,14.17,4174.56,1
32,5.43,931.5,0
49,3.53,2735.03,1
44,6.36,3586.66,1
41,0.98,901.59,1
31,0.47,1523.58,1
36,1.18,2740.72,1
56,2.07,313.44,1
52,7.02,1300.51,1
30,18.91,3843.61,1
46,2.69,2127.0,0
56,27.36,2144.55,1
19,30.99,3201.07,0
53,31.92,1015.92,0
35,18.17,645.47,0
53,4.52,2038.97,1
33,0.75,1082.96,1
18,8.41,1024.56,1
20,8.18,626.15,1
45,18.97,2370.67,1
48,50.0,1393.25,0
31,7.1,639.63,1
54,4.23,3338.32,1
20,2.06,1234.24,0
44,0.05,2412.72,1
26,7.12,4866.62,1
35,8.11,3299.19,1
45,17.43,4513.15,1
32,7.02,3253.75,0
39,24.83,1305.67,0
60,9.89,802.5,1
36,18.35,1252.05,1
57,1.61,1327.04,1
28,19.33,3951.39,1
52,11.24,1105.94,1
66,1.87,497.64,1
18,2.1,1955.31,1
33,26.1,1710.87,0
53,0.33,838.81,1
41,6.21,1189.3,0
50,3.76,4607.52,1
35,10.94,2363.42,1
46,18.3,1267.55,1
42,4.47,833.99,1
62,5.57,5000.0,0
48,40.13,5000.0,0
50,15.32,3105.88,1
38,22.75,1377.2,1
37,5.78,798.91,0
38,2.67,825.99,1
50,5.31,1363.84,1
38,12.59,1102.56,1
49,1.16,1622.83,1
76,3.15,1562.62,1
58,0.48,692.19,1
40,5.66,714.7,1
63,17.57,1277.47,0
38,0.25,1530.68,1
18,11.25,4348.84,1
29,26.96,2039.25,1
18,2.7,1983.7,0
39,11.83,2099.36,1
45,36.93,3662.47,1
70,32.78,5000.0,1
49,2.68,1032.8,1
41,1.06,5000.0,1
57,1.61,430.1,1
18,12.11,1288.3,0
48,12.94,626.96,1
56,11.22,2678.16,1
22,4.1,3235.25,0
62,1.86,498.68,1
50,8.69,3519.5,1
38,6.61,2136.96,1
54,13.05,2971.48,1
79,5.82,3882.07,1
47,4.13,2733.13,0
48,3.47,408.84,1
38,2.38,1185.8,1
32,3.09,468.27,1
57,1.0,300.0,1
32,4.26,588.56,1
46,0.37,1264.84,1
37,2.06,5000.0,1
52,13.73,1603.99,1
50,3.94,2149.13,0
60,11.03,1060.98,1
37,12.62,1389.19,1
40,8.7,1729.26,1
30,31.87,1328.82,1
38,0.22,2487.28,1
50,13.42,966.52,0
56,31.89,433.23,1
31,19.82,341.17,0
58,1.84,3063.05,1
65,3.96,300.0,1
51,1.89,1369.89,0
73,9.2,610.34,1
33,12.45,2553.56,1
26,3.81,1642.06,0
18,7.75,1674.15,1
67,11.74,1785.73,1
54,5.47,1740.34,1
44,19.24,431.96,1
49,14.76,1112.27,1
28,0.67,770.41,0
80,9.71,899.1,1
46,2.68,1759.61,1
46,8.15,3076.94,0
55,31.44,3001.87,0
52,21.12,1994.0,1
48,5.18,1167.39,1
33,3.45,1672.52,0
52,2.67,2738.84,1
73,7.6,894.4,1
65,1.21,1619.08,1
68,7.97,1053.27,1
37,0.01,882.65,1
30,3.91,1544.86,0
43,2.48,1172.5,1
45,35.48,2027.43,1
61,12.99,1186.76,1
19,4.3,1436.75,1
67,0.97,431.38,1
42,7.27,2827.75,1
38,2.4,2864.98,1
29,7.69,769.27,0
20,18.04,832.24,0
57,9.57,1829.94,1
46,10.05,1085.68,1
25,7.79,1979.91,0
25,26.21,4092.19,1
39,26.87,803.33,1
70,7.19,2982.75,0
41,3.65,684.99,1
22,6.15,895.45,0
41,2.06,1841.22,0
40,10.12,2467.28,1
18,6.93,4008.86,1
44,1.09,4953.26,1
41,2.2,1277.95,1
55,6.53,1605.97,1
72,21.86,2056.64,0
61,8.36,1552.24,1
40,11.44,1267.08,1
28,4.14,1028.14,1
80,8.47,2491.24,1
45,5.93,4029.9,1
45,10.76,380.66,1
44,0.52,1350.61,1
47,6.8,390.1,1
42,3.51,2387.12,1
36,3.95,877.28,1
36,32.42,3660.2,0
44,2.02,1433.47,1
36,3.73,2409.57,1
34,7.13,787.74,1
46,19.88,1785.69,0
41,5.39,1770.85,0
67,13.62,2152.31,1
18,19.41,970.15,0
61,3.71,3446.01,0
63,4.99,2062.17,1
18,4.41,3899.85,1
39,17.89,441.0,1
39,0.45,1797.01,1
23,3.69,1391.62,1
33,11.38,5000.0,1
28,8.33,2531.32,0
71,5.73,1571.27,0
59,7.76,2423.26,1
64,2.2,1139.03,1
55,5.63,2214.36,1
28,6.97,5000.0,0
37,23.15,1019.57,1
52,3.02,1774.9,1
26,20.24,848.7,1
55,10.34,727.25,1
41,0.21,3004.39,1
39,12.9,580.72,1
55,0.36,2189.6,1
51,50.0,2877.67,0
39,20.61,1177.66,0
62,3.53,3808.05,1
28,2.98,3583.76,1
54,4.8,1172.5,1
53,4.4,498.38,1
40,4.66,2312.02,1
49,3.83,1534.75,1
26,9.71,1854.61,1
58,1.79,2294.35,1
42,18.71,414.42,1
37,16.73,1120.08,0
60,6.47,4684.7,0
34,19.15,1896.71,1
23,2.84,2405.44,1
21,0.18,1779.09,1
54,9.66,2355.27,1
25,6.12,3532.95,1
71,8.37,300.0,1
18,22.96,2748.04,1
70,35.04,1551.46,1
48,10.06,3081.36,1
43,14.44,1211.13,1
36,0.88,1172.78,1
50,1.75,559.39,0
44,13.21,1582.88,1
61,5.65,525.31,1
46,5.91,1478.73,1
47,3.69,1852.87,1
39,9.35,907.58,1
44,2.05,367.5,1
49,9.86,300.0,1
19,1.91,697.02,1
24,0.66,300.0,0
56,4.01,1815.94,1
47,2.63,5000.0,0
42,21.98,549.71,1
45,0.57,5000.0,1
50,1.94,1765.18,0
36,7.96,2045.31,1
33,6.56,392.1,1
47,0.47,1877.73,1
30,0.07,1063.62,1
51,44.29,4487.8,1
19,10.75,300.0,1
60,4.55,1079.39,1
52,6.36,809.8,1
48,3.1,2107.77,1
59,4.23,300.0,1
69,10.47,4394.79,1
60,21.44,2047.39,0
18,2.04,1944.78,0
25,18.35,576.02,1
35,1.3,2852.79,1
45,2.42,2652.42,1
52,0.38,3754.21,1
34,1.52,1282.32,1
47,24.93,363.81,1
33,6.15,940.96,1
35,0.81,3161.21,1
23,32.12,1086.43,0
31,21.12,5000.0,1
24,14.05,2901.48,0
30,27.1,5000.0,1
60,2.49,1136.75,1
30,18.1,2246.15,0
80,11.71,702.37,0
52,20.38,3010.94,0
47,15.94,2369.64,1
32,4.25,2787.13,1
55,14.89,1222.76,0
36,3.04,1820.76,1
46,3.98,1749.26,1
80,1.14,1227.6,1
43,27.35,1903.54,0
62,3.44,2156.08,1
34,7.35,2449.5,0
44,4.96,1203.49,1
71,32.17,2898.2,0
35,4.08,2766.65,1
72,15.08,2483.46,1
55,19.34,3057.49,1
36,5.72,1441.03,1
54,4.75,615.85,1
59,13.77,2774.56,1
54,24.41,1039.09,0
21,14.06,384.39,0
34,2.58,1063.06,0
41,21.92,1872.36,0
43,4.9,4164.1,1
54,8.59,2169.85,1
47,17.8,3044.88,1
24,2.09,2731.89,1
50,15.35,2094.43,1
54,9.07,1353.32,1
53,22.38,700.11,1
61,1.89,5000.0,1
57,5.46,1087.27,1
51,17.89,1332.77,1
43,0.19,1521.09,1
20,1.19,1064.29,0
51,46.63,2397.86,1
48,3.29,1079.63,1
49,37.11,1309.26,0
25,2.02,1013.04,1
28,4.48,1287.02,1
60,13.98,589.41,1
44,10.72,468.3,1
55,8.7,4770.39,1
45,7.55,3056.34,1
45,18.54,4278.73,1
59,2.68,4538.35,1
37,5.84,781.91,1
46,1.69,4154.23,1
38,9.06,3429.78,1
38,2.88,1278.49,1
40,4.06,2154.36,1
48,6.37,2984.45,1
37,0.27,2552.58,1
63,0.96,1530.05,1
31,11.58,1893.13,1
42,5.6,2338.92,1
38,20.01,1247.7,1
66,11.86,2524.13,0
47,0.08,941.9,1
60,9.59,4244.3,1
22,0.98,3321.86,0
49,15.18,3027.09,1
58,47.69,2226.54,0
46,7.58,1994.04,0
60,11.48,3408.06,1
37,2.71,645.15,1
66,5.76,848.66,1
79,19.39,2567.66,1
39,1.83,1639.17,1
38,3.09,1067.84,1
66,5.9,3584.89,1
68,12.46,1854.79,1
37,4.71,2149.83,1
38,26.27,3644.98,0
40,0.99,1512.57,1
24,4.63,5000.0,0
31,12.34,698.42,1
29,2.56,3570.09,1
33,10.68,1122.37,1
44,1.79,3193.03,1
48,0.58,955.34,1
68,1.29,463.14,1
30,26.59,3221.65,1
59,8.02,1284.31,1
41,15.91,481.53,1
44,4.04,3326.1,1
55,8.98,1984.18,1
28,6.83,1280.82,0
50,29.14,2231.65,0
47,13.77,1503.91,1
52,13.11,1367.89,0
49,0.47,2961.19,1
80,7.98,2000.8,1
35,6.29,905.44,1
37,26.29,1675.13,1
35,2.98,2930.84,1
36,3.14,675.85,1
35,5.3,3804.19,1
62,2.79,1949.34,1
66,1.38,1840.08,1
36,19.48,1909.16,0
32,8.17,4924.18,0
52,19.76,1683.46,0
36,17.79,1294.19,0
54,3.31,1526.32,1
48,7.93,3220.66,1
22,0.87,2642.21,1
68,24.68,1703.03,1
71,5.18,5000.0,1
35,5.0,2493.78,1
39,3.61,808.16,1
49,6.17,300.0,1
50,2.9,2666.63,1
54,4.7,1367.0,1
75,16.09,447.62,1
42,17.97,1567.77,1
33,3.63,2793.42,1
24,6.33,1481.65,1
34,20.7,1641.65,0
44,0.54,300.0,1
71,22.0,2670.45,1
37,2.47,354.52,1
48,11.35,1059.37,1
44,8.74,2076.44,1
62,8.05,888.92,0
80,19.62,1046.29,1
37,1.07,2008.1,1
37,4.26,2126.44,1
60,7.73,1741.84,1
55,16.68,300.0,1
72,2.44,300.0,1
53,16.24,3219.03,1
39,5.1,1259.02,1
53,2.09,5000.0,1
61,14.23,2015.44,0
57,0.95,5000.0,1
52,7.23,1464.64,1
61,0.66,1137.71,1
62,4.41,2694.25,1
65,9.19,3667.28,1
54,8.12,1470.67,1
42,5.19,2633.33,1
47,5.6,356.6,1
63,2.57,807.19,1
32,6.09,2284.13,1
50,30.63,1265.99,0
39,19.0,2072.72,1
45,1.57,2310.73,1
64,0.3,2604.24,1
47,27.11,3171.76,0
45,7.48,3223.85,1
24,7.72,661.1,0
56,15.17,1493.61,1
54,3.78,1457.62,1
77,6.58,1614.9,1
40,34.63,1361.91,0
48,11.15,1695.2,0
48,1.67,1019.28,0
68,1.43,3032.44,1
43,2.28,2313.33,1
49,14.55,1010.66,1
54,3.5,1719.89,1
47,0.22,5000.0,1
38,28.86,694.94,1
47,1.86,831.06,1
61,0.1,3127.62,1
29,2.71,4625.38,1
46,2.68,2134.01,1
34,5.48,1801.49,0
62,25.31,583.27,0
22,21.13,1183.17,1
36,6.1,1134.04,1
50,5.29,1192.53,1
68,8.1,917.05,1
44,2.79,549.22,1
36,0.54,2713.16,1
73,28.01,2229.64,1
23,2.07,550.94,0
18,2.21,1736.71,1
51,6.4,1320.18,1
37,6.77,4994.5,1
29,0.19,3900.27,1
55,1.6,4974.39,1
48,4.75,1169.09,1
36,11.51,309.49,1
25,2.59,641.92,1
58,5.5,1186.71,1
54,8.15,1396.64,1
43,21.95,5000.0,1
72,3.95,3020.23,1
28,1.43,2232.38,0
22,6.72,3939.28,1
34,13.73,2511.02,1
44,1.16,2897.47,1
48,5.53,1320.72,0
41,0.18,445.77,1
50,0.34,359.45,1
26,6.6,365.66,1
66,3.54,2688.2,1
43,18.65,860.74,1
61,9.22,1328.29,0
50,6.05,504.13,1
51,5.24,3597.7,1
53,6.88,1671.54,0
51,0.41,2002.28,1
54,22.33,2149.93,0
64,50.0,2343.8,0
47,2.0,3727.13,1
55,1.28,2754.16,1
43,1.55,726.69,1
66,10.82,824.7,1
34,10.83,5000.0,1
72,18.83,3282.67,0
44,13.94,5000.0,1
23,5.97,1404.93,1
46,9.49,4613.71,1
34,11.66,2399.63,1
57,7.19,2095.56,0
35,6.46,1724.39,1
38,10.36,2988.25,1
18,8.15,2477.22,0
38,10.33,1468.59,1
18,9.49,1052.03,1
21,12.7,1504.17,0
56,10.29,1687.98,0
56,7.33,1232.73,1
51,11.45,798.94,1
30,5.97,1776.18,1
44,2.77,2273.17,1
44,0.01,2063.06,1
27,8.21,632.2,1
67,8.93,4957.23,1
58,35.77,5000.0,1
41,4.49,2655.07,0
45,5.01,3038.73,1
48,2.25,2012.08,1
18,0.73,2185.32,1
41,14.82,338.03,1
34,2.87,1573.03,1
29,9.39,1590.89,1
40,11.64,5000.0,1
71,6.37,1345.26,0
54,20.9,4901.82,0
36,5.87,1721.81,1
53,3.35,1197.46,1
65,22.64,360.69,1
58,19.77,2160.01,0
45,1.79,898.93,1
35,0.26,411.72,1
55,0.94,2642.63,1
50,3.38,2222.35,1
58,35.85,2363.55,0
54,8.18,1710.42,1
60,4.67,973.67,1
36,21.96,706.58,1
64,6.04,4498.3,1
47,3.79,2798.03,1
76,28.34,3314.25,0
34,18.94,1517.34,0
71,18.56,873.84,0
47,7.18,794.69,1
35,15.58,1803.5,0
37,1.98,905.93,1
40,8.51,300.87,1
51,41.26,2548.96,1
52,3.44,3313.47,1
36,15.82,1096.41,1
44,6.74,395.16,1
77,0.41,1925.44,1
70,14.4,1503.06,1
51,1.85,1261.67,1
45,9.98,2329.65,1
46,0.9,1852.6,1
54,29.35,2266.13,1
29,3.45,1790.13,0
41,2.57,904.05,1
19,1.38,848.57,0
50,29.19,1712.56,1
54,12.44,3151.7,1
37,13.53,1823.73,1
68,6.92,997.94,1
26,6.44,1919.23,1
23,1.17,1976.63,1
48,8.21,911.85,1
60,2.84,5000.0,0
70,37.79,3042.06,0
38,15.92,1522.79,1
61,5.33,5000.0,1
44,1.64,2167.63,1
42,15.39,2040.17,0
58,1.3,4202.82,0
54,2.1,3057.26,1
21,2.38,2393.66,0
67,8.14,1232.39,1
65,15.47,1693.52,1
35,3.77,1502.36,0
50,0.88,1013.74,1
52,6.25,5000.0,1
48,13.79,3075.3,1
36,2.51,1458.41,0
34,2.48,2225.51,1
44,29.42,1515.14,1
62,30.82,884.25,1
53,46.53,300.0,1
39,16.48,2362.86,1
56,2.08,1735.2,1
18,2.38,3665.16,0
62,4.16,1105.34,1
18,3.83,3669.16,0
39,31.36,3953.6,0
28,15.56,3332.45,1
25,12.87,2963.16,1
62,2.06,1610.18,1
37,24.03,3625.4,0
50,17.6,3236.01,1
44,1.79,1872.86,1
52,20.49,415.23,1
46,3.18,1404.15,1
25,0.84,3364.28,0
59,10.7,2141.56,1
37,10.61,1198.56,1
21,1.0,1782.37,1
38,3.84,1868.87,1
67,49.36,857.92,1
57,11.35,1167.86,1
39,13.1,5000.0,1
39,2.39,300.0,0
40,0.82,1766.98,0
76,3.24,3364.14,1
50,2.86,1744.87,1
51,2.67,1070.0,1
60,2.14,1323.25,1
48,8.55,5000.0,1
41,3.98,2732.44,1
42,17.17,2617.4,1
43,2.03,1603.57,1
44,6.25,2058.44,1
